Wassertank v1
Modus: Zwei-Punkt-Regler
timestamp [s]; pump rpm [1/min]; pump state; p1 [Pa]; p2 [Pa]; valve status; floatswitch status
 119.1; 1000; RUNNING ;   474; 12932; 1; 0                                                          
 120.1; 1000; RUNNING ;   474; 13101; 1; 0                                                          
 121.1; 1000; RUNNING ;   474; 13288; 1; 0                                                          
 122.1; 1000; RUNNING ;   474; 13457; 1; 0                                                          
 123.1; 1000; RUNNING ;   474; 13629; 1; 0                                                          
 124.1; 1000; RUNNING ;   474; 13813; 1; 0                                                          
 125.1; 1000; RUNNING ;   474; 13981; 1; 0                                                          
 126.1; 1000; RUNNING ;   474; 14159; 1; 0                                                          
 127.1; 1000; RUNNING ;   474; 14339; 1; 0                                                          
 128.1; 1000; RUNNING ;   474; 14514; 1; 0                                                          
 129.1; 1000; RUNNING ;   474; 14698; 1; 0                                                          
 130.1; 1000; RUNNING ;   474; 14880; 1; 0                                                          
 131.1; 1000; RUNNING ;   474; 15066; 1; 0                                                          
 132.1; 1000; RUNNING ;   474; 15254; 1; 0                                                          
 133.1; 1000; RUNNING ;   474; 15445; 1; 0                                                          
 134.1; 1000; RUNNING ;   474; 15631; 1; 0                                                          
 135.1; 1000; RUNNING ;   474; 15820; 1; 0                                                          
 136.1; 1000; RUNNING ;   474; 16000; 1; 0                                                          
 137.1; 1000; RUNNING ;   474; 16182; 1; 0                                                          
 138.1; 1000; RUNNING ;   474; 16364; 1; 0                                                          
 139.1; 1000; RUNNING ;   474; 16537; 1; 0                                                          
 140.1; 1000; RUNNING ;   474; 16718; 1; 0                                                          
 141.1; 1000; RUNNING ;   474; 16892; 1; 0                                                          
 142.1; 1000; RUNNING ;   474; 17060; 1; 0                                                          
 143.1; 1000; RUNNING ;   474; 17247; 1; 0                                                          
 144.1; 1000; RUNNING ;   474; 17415; 1; 0                                                          
 145.1; 1000; RUNNING ;   474; 17586; 1; 0                                                          
 146.1; 1000; RUNNING ;   474; 17770; 1; 0                                                          
 147.1; 1000; RUNNING ;   474; 17939; 1; 0                                                          
 148.1; 1000; RUNNING ;   474; 18115; 1; 0                                                          
 149.1; 1000; STOPPING;   502; 18182; 1; 0                                                          
 150.1;  587; STOPPING;   545; 18166; 0; 0                                                          
 151.1;    0; STOPPING;     0; 18161; 0; 0                                                          
 152.1;    0; OFF     ;     0; 18153; 0; 0                                                          
 153.1;    0; OFF     ;     0; 18146; 0; 0                                                          
 154.1;    0; OFF     ;     0; 18146; 0; 0                                                          
 155.1;    0; OFF     ;     0; 18145; 0; 0                                                          
 156.1;    0; OFF     ;     0; 18143; 0; 0                                                          
 157.1;    0; OFF     ;     0; 18142; 0; 0                                                          
 158.1;    0; OFF     ;     0; 18133; 0; 0                                                          
 159.1;    0; OFF     ;     0; 18125; 0; 0                                                          
 160.1;    0; OFF     ;     0; 18118; 0; 0                                                          
 161.1;    0; OFF     ;     0; 18101; 0; 0                                                          
 162.1;    0; OFF     ;     0; 18093; 0; 0                                                          
 163.1;    0; OFF     ;     0; 18079; 0; 0                                                          
 164.1;    0; OFF     ;     0; 18057; 0; 0                                                          
 165.1;    0; OFF     ;     0; 18054; 0; 0                                                          
 166.1;    0; OFF     ;     0; 18034; 0; 0                                                          
 167.1;    0; OFF     ;     0; 18014; 0; 0                                                          
 168.1;    0; OFF     ;     0; 18010; 0; 0                                                          
 169.1;    0; OFF     ;     0; 17988; 0; 0                                                          
 170.1;    0; OFF     ;     0; 17975; 0; 0                                                          
 171.1;    0; OFF     ;     0; 17966; 0; 0                                                          
 172.1;    0; OFF     ;     0; 17950; 0; 0                                                          
 173.1;    0; OFF     ;     0; 17944; 0; 0                                                          
 174.1;    0; OFF     ;     0; 17936; 0; 0                                                          
 175.1;    0; OFF     ;     0; 17929; 0; 0                                                          
 176.1;    0; OFF     ;     0; 17928; 0; 0                                                          
 177.1;    0; OFF     ;     0; 17927; 0; 0                                                          
 178.1;    0; OFF     ;     0; 17925; 0; 0                                                          
 179.1;    0; OFF     ;     0; 17924; 0; 0                                                          
 180.1;    0; OFF     ;     0; 17916; 0; 0                                                          
 181.1;    0; OFF     ;     0; 17908; 0; 0                                                          
 182.1;    0; OFF     ;     0; 17902; 0; 0                                                          
 183.1;    0; OFF     ;     0; 17885; 0; 0                                                          
 184.1;    0; OFF     ;     0; 17877; 0; 0                                                          
 185.1;    0; OFF     ;     0; 17863; 0; 0                                                          
 186.1;    0; OFF     ;     0; 17842; 0; 0                                                          
 187.1;    0; OFF     ;     0; 17838; 0; 0                                                          
 188.1;    0; OFF     ;     0; 17818; 0; 0                                                          
 189.1;    0; OFF     ;     0; 17797; 0; 0                                                          
 190.1;    0; OFF     ;     0; 17794; 0; 0                                                          
 191.1;    0; OFF     ;     0; 17772; 0; 0                                                          
 192.1;    0; OFF     ;     0; 17758; 0; 0                                                          
 193.1;    0; OFF     ;     0; 17750; 0; 0                                                          
 194.1;    0; OFF     ;     0; 17733; 0; 0                                                          
 195.1;    0; OFF     ;     0; 17727; 0; 0                                                          
 196.1;    0; OFF     ;     0; 17720; 0; 0                                                          
 197.1;    0; OFF     ;     0; 17711; 0; 0                                                          
 198.1;    0; OFF     ;     0; 17710; 0; 0                                                          
 199.1;    0; OFF     ;     0; 17709; 0; 0                                                          
 200.1;    0; OFF     ;     0; 17708; 0; 0                                                          
 201.1;    0; OFF     ;     0; 17707; 0; 0                                                          
 202.1;    0; OFF     ;     0; 17699; 0; 0                                                          
 203.1;    0; OFF     ;     0; 17692; 0; 0                                                          
 204.1;    0; OFF     ;     0; 17686; 0; 0                                                          
 205.1;    0; OFF     ;     0; 17670; 0; 0                                                          
 206.1;    0; OFF     ;     0; 17661; 0; 0                                                          
 207.1;    0; OFF     ;     0; 17648; 0; 0                                                          
 208.1;    0; OFF     ;     0; 17626; 0; 0                                                          
 209.1;    0; OFF     ;     0; 17622; 0; 0                                                          
 210.1;    0; OFF     ;     0; 17602; 0; 0                                                          
 211.1;    0; OFF     ;     0; 17582; 0; 0                                                          
 212.1;    0; OFF     ;     0; 17579; 0; 0                                                          
 213.1;    0; OFF     ;     0; 17557; 0; 0                                                          
 214.1;    0; OFF     ;     0; 17543; 0; 0                                                          
 215.1;    0; OFF     ;     0; 17535; 0; 0                                                          
 216.1;    0; OFF     ;     0; 17517; 0; 0                                                          
 217.1;    0; OFF     ;     0; 17511; 0; 0                                                          
 218.1;    0; OFF     ;     0; 17503; 0; 0                                                          
 219.1;    0; OFF     ;     0; 17494; 0; 0                                                          
 220.1;    0; OFF     ;     0; 17493; 0; 0                                                          
 221.1;    0; OFF     ;     0; 17490; 0; 0                                                          
 222.1;    0; OFF     ;     0; 17490; 0; 0                                                          
 223.1;    0; OFF     ;     0; 17489; 0; 0                                                          
 224.1;    0; OFF     ;     0; 17482; 0; 0                                                          
 225.1;    0; OFF     ;     0; 17475; 0; 0                                                          
 226.1;    0; OFF     ;     0; 17470; 0; 0                                                          
 227.1;    0; OFF     ;     0; 17453; 0; 0                                                          
 228.1;    0; OFF     ;     0; 17445; 0; 0                                                          
 229.1;    0; OFF     ;     0; 17432; 0; 0                                                          
 230.1;    0; OFF     ;     0; 17411; 0; 0                                                          
 231.1;    0; OFF     ;     0; 17406; 0; 0                                                          
 232.1;    0; OFF     ;     0; 17387; 0; 0                                                          
 233.1;    0; OFF     ;     0; 17366; 0; 0                                                          
 234.1;    0; OFF     ;     0; 17363; 0; 0                                                          
 235.1;    0; OFF     ;     0; 17341; 0; 0                                                          
 236.1;    0; OFF     ;     0; 17327; 0; 0                                                          
 237.1;    0; OFF     ;     0; 17319; 0; 0                                                          
 238.1;    0; OFF     ;     0; 17301; 0; 0                                                          
 239.1;    0; OFF     ;     0; 17294; 0; 0                                                          
 240.1;    0; OFF     ;     0; 17286; 0; 0                                                          
 241.1;    0; OFF     ;     0; 17276; 0; 0                                                          
 242.1;    0; OFF     ;     0; 17275; 0; 0                                                          
 243.1;    0; OFF     ;     0; 17272; 0; 0                                                          
 244.1;    0; OFF     ;     0; 17272; 0; 0                                                          
 245.1;    0; OFF     ;     0; 17272; 0; 0                                                          
 246.1;    0; OFF     ;     0; 17265; 0; 0                                                          
 247.1;    0; OFF     ;     0; 17258; 0; 0                                                          
 248.1;    0; OFF     ;     0; 17253; 0; 0                                                          
 249.1;    0; OFF     ;     0; 17238; 0; 0                                                          
 250.1;    0; OFF     ;     0; 17229; 0; 0                                                          
 251.1;    0; OFF     ;     0; 17217; 0; 0                                                          
 252.1;    0; OFF     ;     0; 17195; 0; 0                                                          
 253.1;    0; OFF     ;     0; 17191; 0; 0                                                          
 254.1;    0; OFF     ;     0; 17172; 0; 0                                                          
 255.1;    0; OFF     ;     0; 17151; 0; 0                                                          
 256.1;    0; OFF     ;     0; 17149; 0; 0                                                          
 257.1;    0; OFF     ;     0; 17127; 0; 0                                                          
 258.1;    0; OFF     ;     0; 17111; 0; 0                                                          
 259.1;    0; OFF     ;     0; 17104; 0; 0                                                          
